,Unnamed: 0,Date,Open
2801,2801,01.11.2009,631
2776,2776,02.13.2009,611
2751,2751,03.24.2009,737
2726,2726,04.28.2009,803
2701,2701,06.04.2009,1125
2676,2676,07.10.2009,884
2651,2651,08.14.2009,1054
2626,2626,09.18.2009,1231
2601,2601,10.23.2009,1448
2576,2576,11.30.2009,1369
2551,2551,01.12.2010,1550
2526,2526,02.16.2010,1377
2501,2501,03.25.2010,1513
2476,2476,04.29.2010,1563
2451,2451,06.07.2010,1359
2426,2426,07.13.2010,1385
2401,2401,08.17.2010,1445
2376,2376,09.21.2010,1467
2351,2351,10.26.2010,1620
2326,2326,12.01.2010,1597
2301,2301,01.14.2011,1879
2276,2276,02.18.2011,1869
2251,2251,03.29.2011,2045
2226,2226,05.04.2011,1976
2201,2201,06.09.2011,1913
2176,2176,07.15.2011,1939
2151,2151,08.19.2011,1587
2126,2126,09.23.2011,1387
2101,2101,10.28.2011,1592
2076,2076,12.05.2011,1547
2051,2051,01.10.2012,1429
2026,2026,02.14.2012,1646
2001,2001,03.22.2012,1684
1976,1976,04.26.2012,1583
1951,1951,05.31.2012,1273
1926,1926,07.06.2012,1388
1901,1901,08.10.2012,1447
1876,1876,09.14.2012,1484
1851,1851,10.19.2012,1512
1826,1826,11.26.2012,1432
1801,1801,01.08.2013,1526
1776,1776,02.12.2013,1581
1751,1751,03.20.2013,1478
1726,1726,04.24.2013,1333
1701,1701,05.31.2013,1350
1676,1676,07.08.2013,1268
1651,1651,08.12.2013,1325
1626,1626,09.16.2013,1396
1601,1601,10.21.2013,1516
1576,1576,11.26.2013,1433
1551,1551,01.06.2014,1442
1526,1526,02.11.2014,1336
1501,1501,03.19.2014,1160
1476,1476,04.23.2014,1178
1451,1451,05.30.2014,1315
1426,1426,07.08.2014,1383
1401,1401,08.12.2014,1203
1376,1376,09.16.2014,1195
1351,1351,10.21.2014,1054
1326,1326,11.26.2014,1045
1301,1301,01.05.2015,785
1276,1276,02.10.2015,836
1251,1251,03.19.2015,866
1226,1226,04.23.2015,1009
1201,1201,06.02.2015,953
1176,1176,07.08.2015,890
1151,1151,08.12.2015,829
1126,1126,09.16.2015,811
1101,1101,10.21.2015,873
1076,1076,11.26.2015,881
1051,1051,01.04.2016,755
1026,1026,02.10.2016,681
1001,1001,03.17.2016,854
976,976,04.21.2016,952
951,951,05.31.2016,927
926,926,07.06.2016,926
901,901,08.10.2016,951
876,876,09.14.2016,966
851,851,10.19.2016,988
826,826,11.24.2016,1019
801,801,12.29.2016,1139
776,776,02.03.2017,1176
751,751,03.14.2017,1072
726,726,04.18.2017,1095
701,701,05.26.2017,1075
676,676,07.03.2017,1008
651,651,08.07.2017,1026
626,626,09.11.2017,1119
601,601,10.16.2017,1158
576,576,11.21.2017,1131
551,551,12.26.2017,1144
526,526,02.02.2018,1297
501,501,03.13.2018,1282
476,476,04.17.2018,1119
451,451,05.23.2018,1192
426,426,06.27.2018,1119
401,401,08.01.2018,1168
376,376,09.05.2018,1078
351,351,10.10.2018,1162
326,326,11.15.2018,1119
301,301,12.20.2018,1096
276,276,01.29.2019,1176
251,251,03.05.2019,1184
226,226,04.10.2019,1248
201,201,05.17.2019,1255
176,176,06.24.2019,1381
151,151,07.29.2019,1350
126,126,09.02.2019,1293
101,101,10.07.2019,1313
76,76,11.12.2019,1461
51,51,12.17.2019,1519
26,26,01.27.2020,1584
1,1,03.03.2020,1336
